Database,Schema,Table Name,Column Type,Column Name,Data Type,Description
public,dev,candcontrib,null,cid,varchar,Candidate ID
public,dev,candcontrib,null,cycle,int,"Year that the cycle started, 2 year cycles for house members, 6 years for senators."
public,dev,candcontrib,null,origin,"varchar,",The site where the data came from.
public,dev,candcontrib,null,source,"varchar,",Reference source for the data.
public,dev,candcontrib,null,notice,"varchar,",Notice to person reading data.
public,dev,candcontrib,null,org_name,"varchar,",Organization name.
public,dev,candcontrib,null,total,"int,",Total contributed to candidate for the cycle.
public,dev,candcontrib,null,pacs,"int,",Contribution amount from polital action committees.
public,dev,candcontrib,null,indivs,int,Contribution from individual contributors.
public,dev,candindbyind,null,cid,"varchar,",Candidate ID
public,dev,candindbyind,null,cycle,"int,","Year that the cycle started, 2 year cycles for house members, 6 years for senators."
public,dev,candindbyind,null,industry,"varchar,",Industry description of who made the contribution.
public,dev,candindbyind,null,chamber,"varchar,",House or senate.
public,dev,candindbyind,null,party,"varchar,",Political party of candidate.
public,dev,candindbyind,null,state,"varchar,",State the candidate is a representative of.
public,dev,candindbyind,null,total,"int,",Total contributed to candidate for the cycle by a single industry.
public,dev,candindbyind,null,indivs,"int,",Contribution from individual industry to a candidate.
public,dev,candindbyind,null,pacs,"int,",Contributions from political action committees from a certain industry.
public,dev,candindbyind,null,rank,"int,",Need more information.
public,dev,candindbyind,null,origin,"varchar,",The site where the data came from.
public,dev,candindbyind,null,source,"varchar,",Reference source for the data.
public,dev,candindbyind,null,last_updated,date,Date the data was last updated.
public,dev,candsummary,null,cid,"varchar,",Candidate ID
public,dev,candsummary,null,cycle,"varchar,","Year that the cycle started, 2 year cycles for house members, 6 years for senators."
public,dev,candsummary,null,state,"varchar,",State the candidate is a representative of.
public,dev,candsummary,null,party,"varchar,",Political party of candidate.
public,dev,candsummary,null,chamber,"varchar,",House or senate.
public,dev,candsummary,null,first_elected,"int,",Year or cycle first elected.
public,dev,candsummary,null,next_election,"int,",Year or cycle of next election.
public,dev,candsummary,null,total,"decimal,",Total contributed to candidate for the cycle.
public,dev,candsummary,null,spent,"decimal,",Total spent by the candidate in a cycle? Need more information.
public,dev,candsummary,null,cash_on_hand,"decimal,",Total cash on hand for candidate during cycle? Need more information.
public,dev,candsummary,null,debt,"decimal,",Debt candidate holds? Need more information.
public,dev,candsummary,null,origin,"varchar,",The site where the data came from.
public,dev,candsummary,null,source,"varchar,",Reference source for the data.
public,dev,candsummary,null,last_updated,date,Date the data was last updated.
public,dev,buyer_address,PK,BUYER_DEA_NO,"varchar,",DEA number for buyer.
public,dev,buyer_address,null,BUYER_BUS_ACT,"varchar,",Business account number for buyer.
public,dev,buyer_address,null,BUYER_NAME,"varchar,",Buyer name.
public,dev,buyer_address,null,BUYER_ADDRESS1,"varchar,",Street address for buyer.
public,dev,buyer_address,null,BUYER_ADDRESS2,"varchar,","Street address for buyer, continued."
public,dev,buyer_address,null,BUYER_CITY,"varchar,",City for buyer.
public,dev,buyer_address,null,BUYER_STATE,"varchar,",State for buyer.
public,dev,buyer_address,null,BUYER_ZIP,"int,",Zip code for buyer.
public,dev,buyer_address,null,BUYER_COUNTY,"varchar,",County for buyer address.
public,dev,buyer_address,null,BUYER_ADDL_CO_INFO,"varchar,",Additional info for buyer address.
public,dev,reporter_address,null,Reporter_family,"varchar,",Reporter family name. Need more information.
public,dev,reporter_address,PK,REPORTER_DEA_NO,"varchar,",DEA number for reporter.
public,dev,reporter_address,null,REPORTER_BUS_ACT,"varchar,",Business account number for reporter.
public,dev,reporter_address,null,REPORTER_NAME,"varchar,",Reporter name.
public,dev,reporter_address,null,REPORTER_ADDRESS1,"varchar,",Street address for reporter.
public,dev,reporter_address,null,REPORTER_CITY,"varchar,","Street address for reporter, continued."
public,dev,reporter_address,null,REPORTER_STATE,"char(2),",State for reporter address.
public,dev,reporter_address,null,REPORTER_ZIP,"int,",Zip code for reporter address.
public,dev,reporter_address,null,REPORTER_COUNTY,"varchar,",County for reporter address.
public,dev,county_raw,FK,REPORTER_DEA_NO,"varchar,","Reporter DEA number, references reporter_address table."
public,dev,county_raw,FK,BUYER_DEA_NO,"varchar,","Buyer DEA number, references buyer_address table."
public,dev,county_raw,null,TRANSACTION_CODE,"char(2),",Transaction code.
public,dev,county_raw,null,DRUG_CODE,"decimal,",Drug code.
public,dev,county_raw,null,NDC_NO,"varchar,","National drug code number, usually a 10 - 11 digit number to represent the drug labeler, product and dosage."
public,dev,county_raw,null,DRUG_NAME,"varchar,",Name of drug.
public,dev,county_raw,null,QUANTITY,"decimal,",Quantity dispensed.
public,dev,county_raw,null,UNIT,"char(1),",Unit type of drug.
public,dev,county_raw,null,ACTION_INDICATOR,"char(1),",Need more information.
public,dev,county_raw,null,ORDER_FORM_NO,"varchar,",Order form number.
public,dev,county_raw,null,CORRECTION_NO,"decimal,",Correction number.
public,dev,county_raw,null,STRENGTH,"decimal,",Strength of medication
public,dev,county_raw,null,TRANSACTION_DATE,"decimal,",Date of transaction.
public,dev,county_raw,null,CALC_BASE_WT_IN_GM,"decimal,",Calculated base weight in grams.
public,dev,county_raw,null,DOSAGE_UNIT,"decimal,",Unit of dosage.
public,dev,county_raw,null,TRANSACTION_ID,"decimal,",Transaction ID.
public,dev,county_raw,null,Product_Name,"varchar,",Name of product.
public,dev,county_raw,null,Ingredient_Name,"varchar,",Ingredient name.
public,dev,county_raw,null,Measure,"varchar,",Measure for drug.
public,dev,county_raw,null,MME_Conversion_Factor,"decimal,","Conversion factor for the morphine milligram equivalents, an indication of the strenght of the drug."
public,dev,county_raw,null,Combined_Labeler_Name,"varchar,",Labeler name.
public,dev,county_raw,null,Revised_Company_Name,"varchar,",Company name.
public,dev,county_raw,null,Reporter_family,"varchar,",Reporter family name. Need more information.
public,dev,county_raw,null,dos_str,decimal,Dosage string.
public,dev,drug_list,PK,DRUG_NAME,varchar,Name of drug.
public,dev,pharm_location,PK,BUYER_DEA_NO,varchar,DEA number for buyer.
public,dev,pharm_location,null,lat,"decimal,",Latitude for pharmacy.
public,dev,pharm_location,null,lon,decimal,Longitude for pharmacy.
public,dev,ohio_county,null,BUYER_COUNTY,"varchar,",County name for buyer.
