record_no,distid,county,start,end
1,OH01,hamilton,2003,2013
2,OH01,butler,2003,2013
3,OH02,hamilton,2003,2013
4,OH02,clermont,2003,2013
5,OH02,brown,2003,2013
6,OH02,adams,2003,2013
7,OH02,scioto,2003,2013
8,OH02,pike,2003,2013
9,OH02,warren,2003,2013
10,OH03,montgomery,2003,2013
11,OH03,warren,2003,2013
12,OH03,clinton,2003,2013
13,OH03,highland,2003,2013
14,OH04,champaign,2003,2013
15,OH04,shelby,2003,2013
16,OH04,logan,2003,2013
17,OH04,auglaize,2003,2013
18,OH04,allen,2003,2013
19,OH04,hardin,2003,2013
20,OH04,hancock,2003,2013
21,OH04,wyandot,2003,2013
22,OH04,marion,2003,2013
23,OH04,morrow,2003,2013
24,OH04,richland,2003,2013
25,OH05,defiance,2003,2013
26,OH05,williams,2003,2013
27,OH05,paulding,2003,2013
28,OH05,van wert,2003,2013
29,OH05,merger,2003,2013
30,OH05,putnam,2003,2013
31,OH05,henry,2003,2013
32,OH05,fulton,2003,2013
33,OH05,wood,2003,2013
34,OH05,sandusky,2003,2013
35,OH05,seneca,2003,2013
36,OH05,wyandot,2003,2013
37,OH05,crawford,2003,2013
38,OH05,huron,2003,2013
39,OH05,ashland,2003,2013
40,OH06,mahoning,2003,2013
41,OH06,columbiana,2003,2013
42,OH06,jefferson,2003,2013
43,OH06,belmont,2003,2013
44,OH06,noble,2003,2013
45,OH06,monroe,2003,2013
46,OH06,washingto,2003,2013
47,OH06,athens,2003,2013
48,OH06,meigs,2003,2013
49,OH06,gallia,2003,2013
50,OH06,lawrence,2003,2013
51,OH06,scioto,2003,2013
52,OH07,clark,2003,2013
53,OH07,greene,2003,2013
54,OH07,fayette,2003,2013
55,OH07,pickaway,2003,2013
56,OH07,ross,2003,2013
57,OH07,fairfield,2003,2013
58,OH07,perry,2003,2013
59,OH08,mercer,2003,2013
60,OH08,darke,2003,2013
61,OH08,miami,2003,2013
62,OH08,preble,2003,2013
63,OH08,montgomery,2003,2013
64,OH08,butler,2003,2013
65,OH09,lucas,2003,2013
66,OH09,ottawa,2003,2013
67,OH09,erie,2003,2013
68,OH09,lorain,2003,2013
69,OH10,cuyahoga,2003,2013
70,OH11,cuyahoga,2003,2013
71,OH12,delaware,2003,2013
72,OH12,licking,2003,2013
73,OH12,franklin,2003,2013
74,OH13,cuyahoga,2003,2013
75,OH13,lorain,2003,2013
76,OH13,medina,2003,2013
77,OH13,summit,2003,2013
78,OH14,ashtabula,2003,2013
79,OH14,lake,2003,2013
80,OH14,cuyahoga,2003,2013
81,OH14,portage,2003,2013
82,OH14,summit,2003,2013
83,OH14,trumbull,2003,2013
84,OH15,franklin,2003,2013
85,OH15,union,2003,2013
86,OH15,madison,2003,2013
87,OH16,ashland,2003,2013
88,OH16,wayne,2003,2013
89,OH16,medina,2003,2013
90,OH16,stark,2003,2013
91,OH17,trumbull,2003,2013
92,OH17,mahoning,2003,2013
93,OH17,portage,2003,2013
94,OH17,summit,2003,2013
95,OH18,knox,2003,2013
96,OH18,holmes,2003,2013
97,OH18,coshocton,2003,2013
98,OH18,tuscarawas,2003,2013
99,OH18,carroll,2003,2013
100,OH18,harrison,2003,2013
101,OH18,belmont,2003,2013
102,OH18,guernsey,2003,2013
103,OH18,muskingum,2003,2013
104,OH18,licking,2003,2013
105,OH18,morgan,2003,2013
106,OH18,athens,2003,2013
107,OH18,hocking,2003,2013
108,OH18,vinton,2003,2013
109,OH18,ross,2003,2013
110,OH18,jackson,2003,2013
111,OH01,hamilton,2014,2023
112,OH01,warren,2014,2023
113,OH01,clermont,2014,2023
114,OH02,clermont,2014,2023
115,OH02,highland,2014,2023
116,OH02,brown,2014,2023
117,OH02,adams,2014,2023
118,OH02,pike,2014,2023
119,OH02,ross,2014,2023
120,OH02,scioto,2014,2023
