"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Drug/Alcohol Induced Cause"	"Drug/Alcohol Induced Cause Code"	Deaths	Population	Crude Rate
	"Butler County, OH"	"39017"	"2006"	"2006"	"Sep., 2006"	"2006/09"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"2009"	"2009"	"Jul., 2009"	"2009/07"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"2011"	"2011"	"Aug., 2011"	"2011/08"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"2011"	"2011"	"Nov., 2011"	"2011/11"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"2012"	"2012"	"Feb., 2012"	"2012/02"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	13	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"2012"	"2012"	"May, 2012"	"2012/05"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"2013"	"2013"	"Jan., 2013"	"2013/01"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	13	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"2013"	"2013"	"Feb., 2013"	"2013/02"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"2013"	"2013"	"Mar., 2013"	"2013/03"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	13	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"2013"	"2013"	"Apr., 2013"	"2013/04"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"2013"	"2013"	"May, 2013"	"2013/05"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"2013"	"2013"	"Oct., 2013"	"2013/10"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"2013"	"2013"	"Dec., 2013"	"2013/12"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	15	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"2014"	"2014"	"Jan., 2014"	"2014/01"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"2014"	"2014"	"Feb., 2014"	"2014/02"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	20	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"2014"	"2014"	"Mar., 2014"	"2014/03"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	22	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"2014"	"2014"	"Apr., 2014"	"2014/04"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"2014"	"2014"	"Jun., 2014"	"2014/06"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"2014"	"2014"	"Jul., 2014"	"2014/07"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"2014"	"2014"	"Sep., 2014"	"2014/09"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"2014"	"2014"	"Oct., 2014"	"2014/10"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	15	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"2014"	"2014"	"Dec., 2014"	"2014/12"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	17	Not Applicable	Not Applicable
	"Clermont County, OH"	"39025"	"2014"	"2014"	"Dec., 2014"	"2014/12"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	Not Applicable	Not Applicable
	"Cuyahoga County, OH"	"39035"	"2004"	"2004"	"Mar., 2004"	"2004/03"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	13	Not Applicable	Not Applicable
